mean,st_dev,conf95_lo,conf95_hi
4.833489741227158,0.0899917610048752,4.824034748057533,4.842944734396782
9.723806714403777,7.904548079897472,8.991848768948275,10.455764659859279
12.269783580798645,9.883017732029632,11.348429569610841,13.191137591986449
8.965838608453364,8.722341058679433,8.12462531029415,9.807051906612577
7.73350519891351,5.643253570875685,7.195721700024072,8.271288697802945
8.571504728271098,6.055312501598604,7.993084324670717,9.149925131871482
9.77882975968054,6.59593834892058,9.146510314000093,10.411149205360987
35.47535389818961,12.117469433528347,34.352026730744385,36.59868106563483
38.22393059982346,10.335612917719475,37.24929458893807,39.19856661070886
38.48077687313088,11.537995503630997,37.406350665269436,39.55520308099231
39.40605410892975,10.680075750713693,38.40241449299007,40.409693724869435
