mean,st_dev,conf95_lo,conf95_hi
2.12384802712049,0.035854784947941504,2.120312154060246,2.1273839001807335
2.299622391601493,0.3524548829076945,2.2533630772799396,2.3458817059230466
2.3935851876748564,0.44247577553994344,2.3446441958821396,2.442526179467573
2.540112958812755,0.565025036382085,2.481002786588716,2.599223131036794
2.692170026068909,0.5760342231108441,2.6289578071050994,2.7553822450327186
2.735747464200342,0.5623154060687775,2.682965587398823,2.788529341001861
2.9021719923137796,0.5389017724648615,2.844377763953911,2.9599662206736483
3.0108760900177183,0.484225722048513,2.9576551689434982,3.0640970110919383
3.1184704670891357,0.428764185355225,3.072349590741348,3.164591343436923
3.2251765528396126,0.2783868788376125,3.1958009149957904,3.2545521906834347
3.348062096490361,0.1540021612511905,3.332913246908081,3.363210946072641
