mean,st_dev,conf95_lo,conf95_hi
2.1047484925119493,0.0853480377807485,2.0937184366027064,2.115778548421193
2.36299765796908,0.466520166642718,2.314052943461941,2.4119423724762195
2.6097116833394116,0.627797527985311,2.546590389255177,2.6728329774236466
2.7463360958871115,0.8245362103659525,2.6631047056546953,2.8295674861195277
3.0086628526843096,0.71587125419544,2.9352221907701552,3.082103514598464
3.3041514529464604,0.580924256666535,3.245819688397597,3.362483217495324
3.545382809140542,0.6541687908185374,3.48054183464812,3.6102237836329643
3.7748789345433735,0.516157770536206,3.722214505790645,3.827543363296102
4.002201355495742,0.443838768883539,3.958541924394419,4.045860786597065
4.240752629479223,0.3123936752004085,4.209984384094568,4.271520874863878
4.465012290662206,0.205182639647024,4.444777898822706,4.485246682501706
